Sample Name,Sample Lab Code,Sample Type,Batch Code,4-Acetoxy DMT (mg/g),4-Acetoxy MET (mg/g),4-Hydroxy DET (mg/g),4-Hydroxy TMT (mg/g),4-Hydroxytryptamine (mg/g),4-Propanoyloxy DMT (mg/g),5-Hydroxytryptophan (mg/g),5-Methoxy DMT (mg/g),5-Methoxy NMT (mg/g),Adenosine (mg/g),Aeruginascin (mg/g),Baeocystin (mg/g),Bufotenin (mg/g),Methylcybin (mg/g),"N,N-DMT (mg/g)","N,N-MT (mg/g)",Norbaeocystin (mg/g),Norpsilocin (mg/g),PsilocinEQ (mg/g),Psilocin (mg/g),Psilocybin (mg/g),Serotonin (mg/g),Tryptamine (mg/g),Tryptophan (mg/g),4AcetoxyDMT_AmountMgPkg,4AcetoxyMET_AmountMgPkg,4HydroxyDET_AmountMgPkg,4HydroxyTMT_AmountMgPkg,4Hydroxytryptamine_AmountMgPkg,4PropanoyloxyDMT_AmountMgPkg,5Hydroxytryptophan_AmountMgPkg,5MethoxyDMT_AmountMgPkg,5MethoxyNMT_AmountMgPkg,Adenosine_AmountMgPkg,Aeruginascin_AmountMgPkg,Baeocystin_AmountMgPkg,Bufotenin_AmountMgPkg,Methylcybin_AmountMgPkg,"N,NDMT_AmountMgPkg",NNMT_AmountMgPkg,Norbaeocystin (mg/pkg),Norpsilocin_AmountMgPkg,PsilocinEQ (mg/pkg),Psilocin (mg/pkg),Psilocybin (mg/pkg),Serotonin_AmountMgPkg,Tryptamine_AmountMgPkg,Tryptophan_AmountMgPkg,4AcetoxyDMT_AmountMgSrv,4AcetoxyMET_AmountMgSrv,4HydroxyDET_AmountMgSrv,4HydroxyTMT_AmountMgSrv,4Hydroxytryptamine_AmountMgSrv,4PropanoyloxyDMT_AmountMgSrv,5Hydroxytryptophan_AmountMgSrv,5MethoxyDMT_AmountMgSrv,5MethoxyNMT_AmountMgSrv,Adenosine_AmountMgSrv,Aeruginascin_AmountMgSrv,Baeocystin_AmountMgSrv,Bufotenin_AmountMgSrv,Methylcybin_AmountMgSrv,"N,NDMT_AmountMgSrv",NNMT_AmountMgSrv,Norbaeocystin (mg/srv),Norpsilocin_AmountMgSrv,PsilocinEQ (mg/srv),Psilocin (mg/srv),Psilocybin (mg/srv),Serotonin_AmountMgSrv,Tryptamine_AmountMgSrv,Tryptophan_AmountMgSrv
Nutcracker,TRP-240712-013,Fruit,23590,0.0,0.0,,0.074,0.0,,0.0,0.0,,0.106,0.026,0.035,0.0,0.0,0.0,0.0,0.0,0.0,6.361,1.317,7.019,0.0,0.072,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melmac,TRP-240722-001,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.099,0.0,0.364,0.0,0.0,0.0,0.0,0.097,0.009,9.208,0.325,12.362,0.0,0.002,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluey Vuitton,TRP-240722-002,Fruit,,0.0,0.0,,0.021,0.0,,0.0,0.0,,0.062,0.131,0.251,0.0,0.0,0.0,0.0,0.153,0.007,12.759,0.706,16.773,0.0,0.03,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIVE-MeO,TRP-240722-003,Concentrate,GI 27161,0.0,0.0,0.0,,,0.0,,915.369,10.123,0.0,,,0.516,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC-Gummy,TRP-240722-004,Edible Solid,GI 27357,0.0,0.0,,0.002,0.001,,0.0,0.0,,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.191,0.187,0.006,0.0,0.001,0.01,0.0,0.0,,0.0148284,0.0074142,,0.0,0.0,,0.4226094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037071,1.4161122,1.3864554,0.0444852,0.0,0.0074142,0.074142,0.0,0.0,,0.004942732,0.002471366,,0.0,0.0,,0.140867862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01235683,0.472030906,0.462145442,0.014828196,0.0,0.002471366,0.02471366
OC-Bar,TRP-240722-006,Edible Solid,GI 27357,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.033,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.002,0.264,0.207,0.08,0.0,0.0,0.015,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.5340941,0.0,0.1859508,0.0,0.0,0.0,0.0,0.0,0.0929754,12.2727528,9.6229539,3.719016,0.0,0.0,0.6973155,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0639205875,0.0,0.00774795,0.0,0.0,0.0,0.0,0.0,0.003873975,0.5113647,0.4009564125,0.154959,0.0,0.0,0.0290548125
Batch #2 Leftover,TRP-240814-007,Distillate,GI 29228,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,472.605,90.632,,,,,,,83.926,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm not ready for this!,TRP-240814-008,Extract,GI 27202,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,312.708,4.072,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B+ Land,TRP-240819-001,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.112,0.083,0.213,0.0,0.0,0.0,0.0,0.004,0.0,4.963,0.176,6.662,0.0,0.0,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ps. zapotecorum - Popocatepetl ""Holy Grail"" Isolation",TRP-240821-001,Fruit,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.088,0.017,1.941,0.0,0.0,0.0,0.0,0.244,0.139,11.229,1.332,13.773,0.0,0.0,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillbilly,TRP-240822-003,Fruit,GI 27354,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.042,0.0,0.364,0.0,0.0,0.0,0.0,0.026,0.0,5.084,0.141,6.879,0.0,0.0,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albino LA,TRP-240822-004,Fruit,GI 27354,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.191,0.044,0.164,0.0,0.0,0.0,0.0,0.013,0.016,6.035,0.635,7.514,0.0,0.0,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N,N-S1",TRP-240822-005,Isolate,GI 27161,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,949.481,3.984,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haole 2,TRP-240905-001,Fruit,GI 30671,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.044,0.074,0.473,0.0,0.0,0.0,0.0,0.047,0.0,9.263,0.165,12.661,0.0,0.0,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk Tuah,TRP-240909-004,Fruit,GI 30477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,5.897,1.652,5.907,0.0,0.0,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat Lucy,TRP-240909-005,Fruit,GI 30477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.032,0.193,0.0,0.0,0.0,0.0,0.0,0.0,4.841,0.177,6.491,0.0,0.0,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicorn Turds,TRP-240909-006,Fruit,GI 30477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.004,0.076,0.0,0.0,0.0,0.0,0.0,0.012,6.815,0.762,8.423,0.0,0.0,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blown Hemi,TRP-240909-007,Fruit,GI 30477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.007,0.067,0.0,0.0,0.0,0.0,0.014,0.0,7.411,0.728,9.3,0.0,0.0,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
